"","all_trips_v3$rideable_type","all_trips_v3$day_of_week","all_trips_v3$ride_length"
"1","classic_bike","Sunday",1375.94386107996
"2","electric_bike","Sunday",883.175759729874
"3","classic_bike","Monday",1051.37033161623
"4","electric_bike","Monday",700.848586766703
"5","classic_bike","Tuesday",963.262407167276
"6","electric_bike","Tuesday",658.999979797572
"7","classic_bike","Wednesday",996.621154795197
"8","electric_bike","Wednesday",665.351492385411
"9","classic_bike","Thursday",909.917946233955
"10","electric_bike","Thursday",646.097717338514
"11","classic_bike","Friday",1038.53796171391
"12","electric_bike","Friday",714.924148898328
"13","classic_bike","Saturday",1408.93766932481
"14","electric_bike","Saturday",903.704402059613
